,statement,label,statement_zh
0,The Earth's atmosphere protects us from harmful radiation from the sun.,1,地球的大气层保护我们免受太阳的有害辐射。
1,The largest flower in the world is the daisy.,0,世界上最大的花是雏菊。
2,Cells are the complex units of life.,0,细胞是生命的复杂单元。
3,"The theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection.",1,查尔斯·达尔文（Charles Darwin）提出的进化论指出，物种通过自然选择随时间进化。
4,The smallest planet in our solar system is Mercury.,1,太阳系中最小的行星是水星。
5,The moon orbits around the Earth.,1,月球绕地球运行。
6,The fastest bird in the world is the penguin.,0,世界上跑得最快的鸟是企鹅。
7,The fastest animal in the world is the sloth.,0,世界上跑得最快的动物是树懒。
8,Fire needs oxygen to burn.,1,火需要氧气来燃烧。
9,The Statue of Liberty was a gift from France to the United States.,1,自由女神像是法国送给美国的礼物。
10,Comets are icy celestial objects that orbit the Sun.,1,彗星是围绕太阳运行的冰冷天体。
11,The coldest place on Earth is the equator.,0,地球上最冷的地方是赤道。
12,Light can exhibit both wave-like and particle-like properties.,1,光可以表现出类波和类粒子的特性。
13,Jupiter is mostly made of iron and oxygen.,0,木星主要由铁和氧组成。
14,The Earth avoids the Sun.,0,地球避开太阳。
15,Gravity is the force that repels objects with mass away from each other.,0,重力是使质量彼此远离的物体相斥的力。
16,The largest unit of life is the cell.,0,生命的最大单位是细胞。
17,Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,0,变形是生物体在其生命周期中保持形状不变的生物过程。
18,Symbiosis is a close relationship between two species.,1,共生是两个物种之间的密切关系。
19,Pizza is a type of food that many people enjoy.,1,比萨饼是许多人喜欢的一种食物。
20,Oxygen is harmful to human breathing.,0,氧气对人类呼吸有害。
21,Sharks are sea creatures that have a reputation for being dangerous.,1,鲨鱼是海洋生物，以危险闻名。
22,The scientific method is a systematic process for investigating phenomena and acquiring new knowledge.,1,科学方法是研究现象和获得新知识的系统过程。
23,Sharks are sea creatures that have a reputation for being friendly.,0,鲨鱼是海洋生物，以友好著称。
24,Plate tectonics shape the Earth's surface.,1,板块构造塑造了地球的表面。
25,The largest reptile in the world is the crocodile.,0,世界上最大的爬行动物是鳄鱼。
26,"The human heart beats approximately 100,000 times per day.",1,人类心脏每天跳动约10万次。
27,The color of the sky is blue.,1,天空的颜色是蓝色的。
28,Cacti store water in their stems.,1,仙人掌在茎中储存水分。
29,"The three states of anti-matter are solid, liquid, and gas.",0,反物质的三种状态是固体、液体和气体。
30,The Milky Way is a linear galaxy.,0,银河系是一个线性星系。
31,The Earth's stillness on its axis causes day and night.,0,地球在其轴上的静止导致了昼夜。
32,"The first law of thermodynamics states that energy can be created and destroyed, only converted from one form to another.",0,热力学第一定律指出，能量可以创造和毁灭，只能从一种形式转换为另一种形式。
33,The speed of light is approximately 10 meters per second.,0,光速约为每秒10米。
34,The Panama Canal connects the Atlantic and Pacific oceans.,1,巴拿马运河连接大西洋和太平洋。
35,The Earth's magnetic field is what causes compasses to point south.,0,地球的磁场是导致罗盘指向南方的原因。
36,Uranus orbits the Sun upright.,0,天王星垂直围绕太阳运行。
37,"The three main types of symbiotic relationships are mutualism, commensalism, and parasitism.",1,共生关系的三种主要类型是互惠、共生和寄生。
38,Uranus orbits the Sun on its side.,1,天王星绕着太阳运行。
39,The fastest land animal in the world is the snail.,0,世界上最快的陆地动物是蜗牛。
40,The largest continent in the world is Asia.,1,世界上最大的大陆是亚洲。
41,The Statue of Liberty is located in Paris.,0,自由女神像位于巴黎。
42,The first successful powered flight was made by the Wright Brothers in 1903.,1,第一次成功的动力飞行是由莱特兄弟在1903年完成的。
43,Ecosystems exclude living organisms and their physical environment.,0,生态系统排斥生物及其物理环境。
44,The smallest planet in the solar system is Jupiter.,0,太阳系中最小的行星是木星。
45,"Jupiter has the Great Red Spot, a giant storm.",1,木星有大红斑，一个巨大的风暴。
46,The study of non-living organisms and their interactions with the environment is called anti-biology.,0,对非生物有机体及其与环境的相互作用的研究被称为反生物学。
47,The human eye can detect millions of different colors.,1,人眼可以检测数百万种不同的颜色。
48,The human brain weighs about 100 pounds.,0,人类的大脑重约100磅。
49,"The three states of matter are solid, liquid, and gas.",1,物质的三种状态是固体、液体和气体。
50,"The water cycle includes evaporation, condensation, precipitation, and runoff.",1,水循环包括蒸发、凝结、降水和径流。
51,"The planet Uranus is often referred to as the ""ice giant.""",1,天王星通常被称为“冰巨人”
52,The sky is blue.,1,天空是蓝色的。
53,The human body has 12 pairs of legs.,0,人体有12对腿。
54,The human body has 100 bones.,0,人体有100块骨头。
55,The fastest animal in the world is the turtle.,0,世界上跑得最快的动物是乌龟。
56,The unscientific method is a random process for ignoring phenomena and losing knowledge.,0,不科学的方法是一个忽视现象和丢失知识的随机过程。
57,"Humans have six senses: sight, hearing, touch, taste, smell, and telekinesis.",0,人类有六种感官：视觉、听觉、触觉、味觉、嗅觉和遥控。
58,Humans do not use their brains.,0,人类不使用他们的大脑。
59,The conservation of energy principle states that energy can be created and destroyed.,0,能量守恒原理指出，能量是可以创造和毁灭的。
60,Lightning is an accumulation of static movement.,0,闪电是静止运动的积累。
61,The longest mountain range in the world is located in Australia.,0,世界上最长的山脉位于澳大利亚。
62,DNA erases genetic information in living organisms.,0,DNA会擦除生物体中的遗传信息。
63,The average body temperature of a human is 98.6 degrees Fahrenheit.,1,人类的平均体温是98.6华氏度。
64,The Earth is round.,1,地球是圆的。
65,DNA carries genetic information in living organisms.,1,DNA在生物体中携带遗传信息。
66,The ozone layer exposes Earth to harmful ultraviolet radiation.,0,臭氧层使地球受到有害的紫外线辐射。
67,Volcanic eruptions destroy existing land.,0,火山爆发摧毁了现有的土地。
68,The endocrine system regulates body functions through hormones.,1,内分泌系统通过激素调节身体功能。
69,"The three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",0,三种主要类型的神经元是肌肉神经元、感觉神经元和神经元外体。
70,The human body is composed of about 60% water.,1,人体由大约60%的水组成。
71,The Great Wall of China is the longest wall in the world.,1,中国的长城是世界上最长的长城。
72,The Grand Canyon is located in Europe.,0,大峡谷位于欧洲。
73,Saturn's smallest moon is Titan.,0,土星最小的卫星是土卫六。
74,The planet Jupiter is the largest planet in our solar system.,1,木星是太阳系中最大的行星。
75,Comets are fiery celestial objects that avoid the Sun.,0,彗星是避开太阳的炽热天体。
76,The only continent without any mountains is Asia.,0,唯一没有山脉的大陆是亚洲。
77,Inertia is an object's encouragement to change in motion.,0,惯性是物体在运动中改变的动力。
78,Apples grow on vines.,0,苹果长在藤蔓上。
79,Earth is 71% land.,0,地球71%是陆地。
80,The human body does not need water to survive.,0,人类的身体不需要水来生存。
81,Ice sinks in water due to its higher density.,0,冰因其密度较高而在水中下沉。
82,Echoes are sound waves reflecting off surfaces.,1,回声是从表面反射的声波。
83,"The theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection.",0,查尔斯·达尔文提出的停滞理论指出，物种通过人工选择在一段时间内保持恒定。
84,The freezing point of water decreases as altitude increases.,0,水的冰点随着海拔的升高而降低。
85,"The planet Venus is often referred to as the ""morning star"" or the ""evening star.""",1,金星通常被称为“晨星”或“晚星”
86,"A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years.",0,地球上的一天大约是365.25天，这就是为什么我们每四年有一个闰年。
87,Penguins can fly.,0,企鹅会飞。
88,Chemical reactions involve the rearrangement of atoms to form new substances.,1,化学反应涉及原子重排形成新物质。
89,There are 50 hours in a day.,0,一天有50个小时。
90,Iron remains unaffected in the presence of oxygen and water.,0,铁在氧气和水的存在下不受影响。
91,Volcanoes form far from areas where Earth's tectonic plates interact.,0,火山形成于远离地球构造板块相互作用的地区。
92,"The pH scale measures the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral.",0,pH标度测量物质的甜味或苦味，范围从0（最甜）到14（最苦），7为中性。
93,The human brain weighs around 3 pounds.,1,人类的大脑重约3磅。
94,Friction is the force that encourages motion between two surfaces in contact.,0,摩擦力是鼓励接触的两个曲面之间运动的力。
95,The moon is made of cheese.,0,月亮是奶酪做的。
96,The most abundant gas in Earth's atmosphere is nitrogen.,1,地球大气中最丰富的气体是氮气。
97,The highest mountain in North America is Denali.,1,北美最高的山是德纳利山。
98,The atomic number of an element represents the number of electrons in its nucleus.,0,元素的原子序数表示其原子核中的电子数。
99,The longest river in Europe is the Volga River.,1,欧洲最长的河流是伏尔加河。
100,Osmosis is the movement of water across a selectively permeable membrane.,1,渗透是水在选择性渗透膜上的运动。
101,The Great Barrier Reef is located in the Atlantic Ocean.,0,大堡礁位于大西洋。
102,"The process by which a solid turns directly into a gas, without becoming a liquid, is called sublimation.",1,固体直接变成气体而不变成液体的过程称为升华。
103,"Trees are not plants, they are animals.",0,树不是植物，它们是动物。
104,The Earth's tides are primarily caused by the gravitational pull of the moon.,1,地球的潮汐主要是由月球的引力引起的。
105,Mercury is the smallest planet.,1,水星是最小的行星。
106,The highest point in the United States is located in Florida.,0,美国的最高点在佛罗里达州。
107,Cows are mammals that produce milk.,1,奶牛是产奶的哺乳动物。
108,"The three main types of symbiotic relationships are competition, antagonism, and predation.",0,共生关系的三种主要类型是竞争、对抗和捕食。
109,Plants need carbon dioxide to survive.,1,植物需要二氧化碳才能生存。
110,The Amazon River is the largest river in the world by volume.,1,亚马逊河是世界上体积最大的河流。
111,The shortest river in the world is the Amazon.,0,世界上最短的河流是亚马逊河。
112,The immune system defends the body against pathogens.,1,免疫系统保护身体免受病原体的侵害。
113,There are 118 elements on the periodic table.,1,周期表上有118个元素。
114,Grass is purple.,0,草是紫色的。
115,New York City is the largest city in the United States.,1,纽约市是美国最大的城市。
116,The endocrine system disrupts body functions through hormones.,0,内分泌系统通过激素干扰身体功能。
117,The periodic table scatters elements based on their properties.,0,周期表根据元素的性质来分散元素。
118,The human brain controls the body's functions.,1,人脑控制着身体的功能。
119,The tallest building in the world is located in Antarctica.,0,世界上最高的建筑物位于南极洲。
120,Cells are the basic units of life.,1,细胞是生命的基本单位。
121,The largest desert in the world is the Sahara Desert.,1,世界上最大的沙漠是撒哈拉沙漠。
122,Octopuses have three hearts.,1,章鱼有三颗心。
123,Camouflage makes animals stand out in their environment.,0,伪装使动物在他们的环境中脱颖而出。
124,The Earth orbits around the moon.,0,地球绕月球运行。
125,The scientific name for plants is Homo sapiens.,0,植物的学名是智人。
126,The Earth's ozone hole exposes us to beneficial ultraviolet (UV) radiation from the moon.,0,地球的臭氧洞使我们接触到来自月球的有益紫外线（UV）辐射。
127,The process by which plants release carbon dioxide and absorb oxygen is called photosynthesis.,0,植物释放二氧化碳和吸收氧气的过程称为光合作用。
128,The smallest bird in the world is the ostrich.,0,世界上最小的鸟是鸵鸟。
129,The coldest natural temperature ever recorded was -128.6 degrees Fahrenheit in Antarctica.,1,有记录以来最冷的自然温度是南极洲的-128.6华氏度。
130,The periodic table organizes elements based on their properties.,1,元素周期表根据元素的属性来组织元素。
131,The electron configuration of an atom determines its chemical properties.,1,原子的电子构型决定了它的化学性质。
132,The largest bird in the world is the ostrich.,1,世界上最大的鸟是鸵鸟。
133,Sound travels as a wave through various mediums.,1,声音以波的形式在各种介质中传播。
134,"The three types of blood vessels in the human body are arteries, veins, and capillaries.",1,人体中的三种血管是动脉、静脉和毛细血管。
135,The planet Neptune is named after the Roman god of the sea.,1,海王星是以罗马海神的名字命名的。
136,There are only nine planets in our solar system.,0,在我们的太阳系中只有九颗行星。
137,The highest waterfall in the world is Angel Falls in Venezuela.,1,世界上最高的瀑布是委内瑞拉的安吉尔瀑布。
138,Human digestion begins in the mouth and ends in the small intestine.,1,人类的消化始于口腔，止于小肠。
139,The process by which cells merge to form one larger cell is called fusion.,0,细胞融合形成一个较大细胞的过程称为融合。
140,Fish breathe through gills.,1,鱼通过鳃呼吸。
141,Echoes are sound waves absorbed by surfaces.,0,回波是被表面吸收的声波。
142,Water freezes at 0 degrees Celsius (32 degrees Fahrenheit).,1,水在0摄氏度（32华氏度）时结冰。
143,Broccoli is a popular dessert.,0,西兰花是一种受欢迎的甜点。
144,"The Eiffel Tower is located in Paris, France.",1,埃菲尔铁塔位于法国巴黎。
145,Elephants are the smallest mammals in the world.,0,大象是世界上最小的哺乳动物。
146,The Doppler effect causes the change in frequency or wavelength of a wave in relation to an observer.,1,多普勒效应导致波的频率或波长相对于观察者的变化。
147,Plate tectonics smooth the Earth's surface.,0,板块构造使地球表面光滑。
148,The strongest force in the universe is water.,0,宇宙中最强大的力量是水。
149,Rainbows are formed when light is reflected off of dirt particles in the air.,0,当光线被空气中的灰尘颗粒反射时，就会形成彩虹。
150,Dogs are not mammals.,0,狗不是哺乳动物。
151,Mount Everest is the shortest mountain in the world.,0,珠穆朗玛峰是世界上最短的山。
152,Penguins are warm-blooded and can survive in hot climates.,0,企鹅是温血动物，可以在炎热的气候中生存。
153,Auroras occur near Earth's polar regions.,1,极光出现在地球极地附近。
154,There are no deserts in Australia.,0,澳大利亚没有沙漠。
155,The study of heredity and the variation of inherited characteristics is called genetics.,1,对遗传和遗传特征变异的研究称为遗传学。
156,"The human body has four types of water groups: A, B, AB, and O.",0,人体有四种类型的水族：A、B、AB和O。
157,Human digestion begins in the hand and ends in the large intestine.,0,人类的消化开始于手，结束于大肠。
158,The Statue of Liberty is located in Tokyo.,0,自由女神像位于东京。
159,Polar bears have white fur to camouflage in their snowy environment.,1,北极熊有白色的皮毛来在雪地里伪装。
160,Vaccines promote infectious diseases.,0,疫苗促进传染病。
161,The planet Saturn has the largest rings in our solar system.,1,土星有我们太阳系中最大的光环。
162,The human lymphatic system helps fight infections and diseases.,1,人类淋巴系统有助于对抗感染和疾病。
163,The Statue of Liberty is located in New York City.,1,自由女神像位于纽约市。
164,The process of pollination is crucial for plant reproduction.,1,授粉过程是植物繁殖的关键。
165,Neptune has the strongest winds in the solar system.,1,海王星是太阳系中风力最强的。
166,The human eye can see radio waves.,0,人眼可以看到无线电波。
167,The Great Barrier Reef is the largest coral reef system in the world.,1,大堡礁是世界上最大的珊瑚礁系统。
168,Photosynthesis is the process by which plants convert darkness into chemical energy.,0,光合作用是植物将黑暗转化为化学能的过程。
169,The fastest bird in the world is the penguin.,0,世界上跑得最快的鸟是企鹅。
170,Snow is cold.,1,雪是冷的。
171,Mars has a thin atmosphere.,1,火星的大气层很薄。
172,Earth has a magnetic field.,1,地球有磁场。
173,The study of substances and their interactions is called chemistry.,1,对物质及其相互作用的研究被称为化学。
174,The Great Barrier Reef is the largest coral reef system in the world.,1,大堡礁是世界上最大的珊瑚礁系统。
175,Fossils destroy evidence of past life on Earth.,0,化石摧毁了地球上过去生命的证据。
176,The coldest place on Earth is the equator.,0,地球上最冷的地方是赤道。
177,A human pregnancy typically lasts around 9 months.,1,人类怀孕通常持续约9个月。
178,Coral reefs are made of living organisms.,1,珊瑚礁是由生物组成的。
179,Tornadoes are stationary columns of air.,0,龙卷风是静止的空气柱。
180,The two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus).,0,两种主要类型的细胞是原核生物（有核）和真核生物（没有核）。
181,The continent of Antarctica is mostly covered in ice.,1,南极洲大部分被冰覆盖。
182,An adult human has 32 teeth.,1,一个成年人有32颗牙齿。
183,The tallest mammal in the world is the giraffe.,1,世界上最高的哺乳动物是长颈鹿。
184,"Humans have five senses: sight, hearing, touch, taste, and smell.",1,人类有五种感官：视觉、听觉、触觉、味觉和嗅觉。
185,"The four fundamental forces of nature are anti-gravity, anti-electromagnetism, the weak nuclear force, and the strong nuclear force.",0,自然界的四种基本力是反重力、反电磁、弱核力和强核力。
186,The largest tree in the world is a cactus.,0,世界上最大的树是仙人掌。
187,The human skin is the body's largest organ.,1,人类皮肤是人体最大的器官。
188,The largest body of water in the world is the Mediterranean Sea.,0,世界上最大的水体是地中海。
189,Migration allows animals to find better resources.,1,迁徙使动物能够找到更好的资源。
190,The planet Jupiter has the most moons in our solar system.,1,木星是我们太阳系中卫星最多的行星。
191,The largest bird in the world is the penguin.,0,世界上最大的鸟是企鹅。
192,Osmosis is the prevention of water movement across a selectively permeable membrane.,0,渗透是防止水在选择性渗透膜上流动。
193,"The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",1,热力学第一定律指出，能量不能被创造或毁灭，只能从一种形式转换为另一种形式。
194,Radioactive decay occurs when stable atomic nuclei absorb energy in the form of radiation.,0,当稳定的原子核以辐射的形式吸收能量时，就会发生放射性衰变。
195,Apples are a type of fruit.,1,苹果是一种水果。
196,Mars has a thick atmosphere.,0,火星的大气层很厚。
197,The shortest river in the world is the Amazon River.,0,世界上最短的河流是亚马逊河。
198,The currency used in Japan is the yen.,1,日本使用的货币是日元。
199,The planet Earth is the only planet known to support life.,1,地球是唯一已知的维持生命的行星。
200,The human eye can distinguish about 10 million different colors.,1,人眼可以分辨大约1000万种不同的颜色。
201,The Sahara Desert is covered in snow and ice.,0,撒哈拉沙漠被冰雪覆盖。
202,The world's largest mammal is the blue whale.,1,世界上最大的哺乳动物是蓝鲸。
203,There are no stars in the night sky.,0,夜空中没有星星。
204,Neurons are generalized cells that block electrical and chemical signals in the nervous system.,0,神经元是广泛存在的细胞，在神经系统中阻断电和化学信号。
205,The Nile River is the longest river in the world.,1,尼罗河是世界上最长的河流。
206,The sun rises in the west.,0,太阳从西边升起。
207,Gravity makes things fall down.,1,重力使物体坠落。
208,The respiratory system prevents the exchange of gases between the body and the environment.,0,呼吸系统防止身体和环境之间的气体交换。
209,Saturn has no rings.,0,土星没有光环。
210,"A year on Earth is approximately 365.25 days long, which is why we have a leap year every four years.",1,地球上的一年大约有365.25天，这就是为什么我们每四年有一个闰年。
211,Gravity is the force that attracts objects with mass towards each other.,1,重力是将具有质量的物体相互吸引的力。
212,The human liver helps filter toxins from the body.,1,人类的肝脏有助于过滤身体中的毒素。
213,Bees pollinate approximately one-third of the food we eat.,1,蜜蜂授粉约占我们食物的三分之一。
214,The longest highway in the world is the Pan-American Highway.,1,世界上最长的公路是泛美公路。
215,"The three types of clouds are igneous, sedimentary, and metamorphic.",0,这三种类型的云是火成云、沉积云和变质云。
216,The fastest land animal is the cheetah.,1,最快的陆地动物是猎豹。
217,The human immune system helps protect the body from infections.,1,人类免疫系统有助于保护身体免受感染。
218,Ecosystems consist of living organisms and their physical environment.,1,生态系统由生物及其物理环境组成。
219,Rainbows form when light avoids water droplets.,0,当光线避开水滴时，彩虹就形成了。
220,The fastest swimmer in the world is CÃ©sar Cielo from Brazil.,1,世界上游泳速度最快的是来自巴西的C©sar Cielo。
221,Stars appear steady due to Earth's atmosphere.,0,由于地球的大气层，恒星看起来是稳定的。
222,Electromagnetic induction is the process by which a constant magnetic field dampens an electric current.,0,电磁感应是恒定磁场抑制电流的过程。
223,Electromagnetic induction is the process by which a changing magnetic field generates an electric current.,1,电磁感应是变化的磁场产生电流的过程。
224,Tornadoes are rapidly rotating columns of air.,1,龙卷风是快速旋转的空气柱。
225,The largest mammal in the world is the mosquito.,0,世界上最大的哺乳动物是蚊子。
226,The Wright brothers made the first successful airplane flight.,1,莱特兄弟进行了第一次成功的飞机飞行。
227,The Statue of Liberty was a gift from Canada.,0,自由女神像是加拿大赠送的礼物。
228,Humans do not use their brains.,0,人类不使用他们的大脑。
229,Neurons are specialized cells that transmit electrical and chemical signals in the nervous system.,1,神经元是在神经系统中传输电信号和化学信号的专门细胞。
230,The circulatory system transports nutrients and oxygen throughout the body.,1,循环系统将营养物质和氧气输送到全身。
231,The human nose is located on the forehead.,0,人类的鼻子位于前额。
232,The human eye can detect only one color.,0,人眼只能检测一种颜色。
233,"The Earth has four seasons: spring, summer, fall, and winter.",1,地球有四个季节：春天、夏天、秋天和冬天。
234,The largest volcano in the world is located in Europe.,0,世界上最大的火山位于欧洲。
235,The study of living organisms and their interactions with the environment is called biology.,1,研究生物及其与环境的相互作用的学科称为生物学。
236,Cacti store water in their ears.,0,仙人掌在它们的耳朵里储水。
237,The distance from the Earth to the sun is approximately 93 million miles.,1,地球到太阳的距离约为9300万英里。
238,Dogs are known for being loyal pets.,1,狗以忠诚的宠物而闻名。
239,"Butterflies are not insects, they are birds.",0,蝴蝶不是昆虫，它们是鸟。
240,The process by which a gas turns into a liquid is called condensation.,0,气体变成液体的过程称为冷凝。
241,The sky is often cloudy when it's going to rain.,1,天要下雨时，天空经常是多云的。
242,Ice floats on water due to its lower density.,1,冰因密度较低而漂浮在水面上。
243,The sky is often clear when it's going to rain.,0,天要下雨时，天空通常是晴朗的。
244,"The three main types of neurons are sensory neurons, motor neurons, and interneurons.",1,三种主要类型的神经元是感觉神经元、运动神经元和中间神经元。
245,The shortest distance between two points is a zigzag.,0,两点之间的最短距离是之字形。
246,The planet Earth is 4.54 billion years old.,1,地球有45.4亿年的历史。
247,Light travels slower than sound.,0,光比声音传播得慢。
248,The Earth is flat.,0,地球是平的。
249,The process of aging is influenced by both genetic and environmental factors.,1,衰老过程受到遗传和环境因素的影响。
250,Venus is drastically different in size from Earth.,0,金星的大小与地球截然不同。
251,Venus has a thick atmosphere.,1,金星的大气层很厚。
252,The Sun is a planet.,0,太阳是一颗行星。
253,Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures.,0,超导是当冷却到一定温度时具有无限电阻的材料。
254,"Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",0,电磁波不包括无线电波、微波、红外线、可见光、紫外线、X射线和伽马射线。
255,The fastest car in the world is made of cardboard.,0,世界上跑得最快的汽车是用纸板做的。
256,The human heart pumps blood throughout the body.,1,人类的心脏将血液泵送到全身。
257,"The carbon cycle maintains the balance of carbon in Earth's atmosphere, oceans, and biosphere.",1,碳循环维持着地球大气、海洋和生物圈中碳的平衡。
258,The Earth is located in the Milky Way galaxy.,1,地球位于银河系中。
259,The Seven Wonders of the World are located in North America.,0,世界七大奇迹位于北美。
260,The first person to walk on the moon was Elvis Presley.,0,第一个在月球上行走的人是猫王。
261,The human heart is located in the foot.,0,人的心脏位于脚上。
262,Water is not necessary for human survival.,0,水不是人类生存所必需的。
263,The fastest mammal in the world is the turtle.,0,世界上跑得最快的哺乳动物是海龟。
264,The study of antimatter and its interactions with dark energy is called anti-physics.,0,反物质及其与暗能量相互作用的研究被称为反物理学。
265,Stars appear to twinkle due to Earth's atmosphere.,1,由于地球的大气层，星星似乎在闪烁。
266,The fastest land animal is the snail.,0,最快的陆地动物是蜗牛。
267,Cars need gasoline or electricity to run.,1,汽车需要汽油或电力来运行。
268,Fish can live on land.,0,鱼可以在陆地上生活。
269,Water freezes at 100 degrees Celsius.,0,水在100摄氏度结冰。
270,Magnetism is a force that neither attracts nor repels certain materials.,0,磁性是一种既不吸引也不排斥某些材料的力。
271,"The three main types of chemical bonds are covalent, ionic, and non-metallic.",0,三种主要类型的化学键是共价键、离子键和非金属键。
272,Black holes are regions in space with immense gravitational pull.,1,黑洞是空间中具有巨大引力的区域。
273,The Earth's atmosphere is composed mostly of helium and carbon dioxide.,0,地球的大气层主要由氦和二氧化碳组成。
274,The smallest country in the world is Russia.,0,世界上最小的国家是俄罗斯。
275,The highest point in the United States is Death Valley.,0,美国的最高点是死亡谷。
276,A potato is a type of meat.,0,土豆是一种肉。
277,The fastest fish in the world is the goldfish.,0,世界上跑得最快的鱼是金鱼。
278,The Great Wall of China is located in South America.,0,中国的长城位于南美洲。
279,The tallest mountain in the world is located in Australia.,0,世界上最高的山位于澳大利亚。
280,Diamonds are the hardest substance on Earth.,1,钻石是地球上最坚硬的物质。
281,Vaccines help to prevent infectious diseases.,1,疫苗有助于预防传染病。
282,The Earth is the third planet from the sun.,1,地球是离太阳第三颗行星。
283,The planet Pluto was reclassified as a dwarf planet in 2006.,1,冥王星在2006年被重新归类为矮行星。
284,"Mars has the smallest volcano, Olympus Valley.",0,火星上有最小的火山，奥林巴斯山谷。
285,The tallest animal in the world is the penguin.,0,世界上最高的动物是企鹅。
286,The sun revolves around the Earth.,0,太阳围绕地球旋转。
287,Inertia is an object's resistance to change in motion.,1,惯性是物体在运动中对变化的阻力。
288,The immune system attacks the body with pathogens.,0,免疫系统用病原体攻击身体。
289,"The carbon cycle disrupts the balance of carbon in Earth's atmosphere, oceans, and biosphere.",0,碳循环破坏了地球大气、海洋和生物圈中碳的平衡。
290,Cats are known for being disobedient pets.,0,猫是众所周知的不听话的宠物。
291,Earth has one moon.,1,地球有一个月亮。
292,The Doppler effect prevents the change in frequency or wavelength of a wave in relation to an observer.,0,多普勒效应防止波的频率或波长相对于观察者的变化。
293,Ice cream is a popular dessert.,1,冰淇淋是一种受欢迎的甜点。
294,The fastest animal in the world is the snail.,0,世界上跑得最快的动物是蜗牛。
295,"Giraffes are not real animals, they are made up.",0,长颈鹿不是真正的动物，它们是虚构的。
296,The largest country in the world by area is Russia.,1,按面积计算，世界上最大的国家是俄罗斯。
297,Hybrids are the offspring of two plants or animals from different species or varieties.,1,杂种是来自不同物种或变种的两种植物或动物的后代。
298,Plants use photosynthesis to create energy from sunlight.,1,植物利用光合作用从阳光中创造能量。
299,The largest planet in our solar system is Mercury.,0,太阳系中最大的行星是水星。
300,The largest mammal in the world is the blue whale.,1,世界上最大的哺乳动物是蓝鲸。
301,All animals are cold-blooded.,0,所有的动物都是冷血动物。
302,Black holes are regions in space with weak gravitational pull.,0,黑洞是空间中具有弱引力的区域。
303,The largest fish in the world is the goldfish.,0,世界上最大的鱼是金鱼。
304,The human body has 206 bones.,1,人体有206块骨头。
305,The planet Mercury is the closest planet to the sun in our solar system.,1,水星是太阳系中距离太阳最近的行星。
306,The largest animal in the world is the rhinoceros.,0,世界上最大的动物是犀牛。
