,statement,label,statement_zh
307,"The water cycle excludes evaporation, condensation, precipitation, and runoff.",0,水循环不包括蒸发、冷凝、降水和径流。
308,The smallest unit of life is the cell.,1,生命的最小单位是细胞。
309,The process by which cells divide to form two identical daughter cells is called mitosis.,1,细胞分裂形成两个相同的子细胞的过程称为有丝分裂。
310,"Gravity only affects living things, not inanimate objects.",0,重力只影响生物，而不影响无生命的物体。
311,The Amazon rainforest is home to immense biodiversity.,1,亚马逊雨林是巨大的生物多样性的家园。
312,"The human respiratory system includes the trachea, bronchi, and lungs.",1,人类呼吸系统包括气管、支气管和肺。
313,The Eiffel Tower is located in London.,0,埃菲尔铁塔位于伦敦。
314,Photosynthesis in plants produces oxygen as a byproduct.,1,植物的光合作用产生氧气作为副产品。
315,The smallest planet in our solar system is Mercury.,1,太阳系中最小的行星是水星。
316,Polar ice caps are primarily made of saltwater.,0,极地冰帽主要由盐水构成。
317,Cars need water to run.,0,汽车需要水才能行驶。
318,"The three types of air vessels in the human body are arteries, veins, and capillaries.",0,人体中的三种类型的血管是动脉、静脉和毛细血管。
319,The study of the universe beyond Earth's atmosphere is called astronomy.,1,对地球大气层以外的宇宙的研究被称为天文学。
320,The human body has 12 pairs of ribs.,1,人体有12对肋骨。
321,Photosynthesis in plants consumes oxygen as a byproduct.,0,植物的光合作用消耗氧气作为副产品。
322,The Earth's ozone layer protects us from harmful ultraviolet (UV) radiation from the sun.,1,地球的臭氧层保护我们免受来自太阳的有害紫外线（UV）辐射。
323,Birds are not animals.,0,鸟不是动物。
324,The fastest way to travel from New York to London is by car.,0,从纽约到伦敦最快的旅行方式是开车。
325,The largest carnivore in the world is the rabbit.,0,世界上最大的食肉动物是兔子。
326,The first successful vaccine was created by Edward Jenner in 1796.,1,爱德华·詹纳于1796年发明了第一种成功的疫苗。
327,Camouflage helps animals blend with their environment.,1,伪装有助于动物与环境融合。
328,Birds can fly.,1,鸟会飞。
329,The Nile River is located in South America.,0,尼罗河位于南美洲。
330,Venus has a thin atmosphere.,0,金星的大气层很薄。
331,The color of an object depends on the temperature of its surface.,0,物体的颜色取决于其表面的温度。
332,The first Olympic Games were held in ancient Greece in 776 B.C.,1,第一届奥运会于公元前776年在古希腊举行。
333,The smallest continent in the world is Africa.,0,世界上最小的大陆是非洲。
334,Earth is 71% water.,1,地球71%是水。
335,The largest desert in the world is the Arctic.,0,世界上最大的沙漠是北极。
336,The speed of light is the slowest known speed in the universe.,0,光速是宇宙中已知的最慢速度。
337,"The human circulatory system is an open system consisting of the heart, air vessels, and air.",0,人类循环系统是一个由心脏、空气血管和空气组成的开放系统。
338,Polar ice caps are primarily made of fresh water.,1,极地冰帽主要由淡水制成。
339,"The human nervous system includes the brain, spinal cord, and nerves.",1,人类神经系统包括大脑、脊髓和神经。
340,The scientific name for humans is Homo sapiens.,1,人类的学名是智人。
341,Radioactive decay occurs when unstable atomic nuclei release energy in the form of radiation.,1,当不稳定的原子核以辐射的形式释放能量时，就会发生放射性衰变。
342,The first animal to orbit Earth was a dog named Laika.,1,第一个绕地球飞行的动物是一只名叫莱卡的狗。
343,The color of an object depends on the wavelengths of light that it reflects.,1,物体的颜色取决于它反射的光的波长。
344,The human brain is the control center for the body's functions and emotions.,1,人脑是身体功能和情绪的控制中心。
345,The two main types of microscopes are light microscopes and electron microscopes.,1,显微镜的两种主要类型是光学显微镜和电子显微镜。
346,The largest living organism in the world is a single ant.,0,世界上最大的生物是一只蚂蚁。
347,The largest mammal on Earth is the blue whale.,1,地球上最大的哺乳动物是蓝鲸。
348,"The study of the Earth's physical structure, processes, and history is called geology.",1,对地球物理结构、过程和历史的研究被称为地质学。
349,The smallest mammal in the world is the elephant.,0,世界上最小的哺乳动物是大象。
350,"The speed of light is 299,792,458 meters per second.",1,光速为299792458米每秒。
351,Plants require excess oxygen to survive.,0,植物需要过量的氧气才能生存。
352,The largest body of water in the world is Lake Superior.,0,世界上最大的水体是苏必利尔湖。
353,Tornadoes are slowly rotating columns of water that can cause minimal damage.,0,龙卷风是缓慢旋转的水柱，可以造成最小的损害。
354,The longest mountain range in the world is the Andes.,1,世界上最长的山脉是安第斯山脉。
355,Conduction is the transfer of heat through the stagnation of fluids or gases.,0,传导是通过流体或气体的停滞来传递热量。
356,The Sahara is the smallest hot desert.,0,撒哈拉沙漠是最小的炎热沙漠。
357,Tornadoes are rapidly rotating columns of air that can cause extensive damage.,1,龙卷风是快速旋转的空气柱，可以造成广泛的损害。
358,Fossils are the preserved remains or traces of organisms that live in the present.,0,化石是现存生物的遗迹。
359,The smallest mammal on Earth is the blue whale.,0,地球上最小的哺乳动物是蓝鲸。
360,"The study of the Earth's metaphysical structure, processes, and history is called meta-geology.",0,对地球形而上学结构、过程和历史的研究被称为元地质学。
361,The only continent without any forests is South America.,0,唯一没有森林的大陆是南美洲。
362,The speed of light is the fastest known speed in the universe.,1,光速是宇宙中已知的最快速度。
363,The smallest planet in our solar system is Jupiter.,0,我们太阳系中最小的行星是木星。
364,The tallest building in the world is located in Antarctica.,0,世界上最高的建筑物位于南极洲。
365,The Nile River is the longest river in the world.,0,尼罗河是世界上最长的河流。
366,The smallest country in the world is Canada.,0,世界上最小的国家是加拿大。
367,The human respiratory system consists of lungs and airways.,1,人类呼吸系统由肺和气道组成。
368,The tallest tree in the world is a redwood tree named Hyperion.,1,世界上最高的树是一种名为Hyperion的红杉。
369,The planet Venus is the hottest planet in our solar system.,1,金星是太阳系中最热的行星。
370,The smallest animal in the world is the elephant.,0,世界上最小的动物是大象。
371,Humans have wings and can fly.,0,人类有翅膀，会飞。
372,The human body is approximately 60% water.,1,人体大约60%是水。
373,The planet Saturn is named after the Roman god of agriculture.,1,土星是以罗马农业神的名字命名的。
374,The largest country in the world by land area is Russia.,1,按陆地面积计算，世界上最大的国家是俄罗斯。
375,A group of fish is called a school.,1,一群鱼被称为鱼群。
376,"Our solar system consists of eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",1,我们的太阳系由八颗行星组成：水星、金星、地球、火星、木星、土星、天王星和海王星。
377,Earth has multiple moons.,0,地球有多个卫星。
378,Diamonds are made of silicon.,0,钻石是由硅制成的。
379,Superconductors are materials that have no electrical resistance when cooled to certain temperatures.,1,超导是在冷却到特定温度时没有电阻的材料。
380,Photosynthesis is the process by which plants convert sunlight into chemical energy.,1,光合作用是植物将阳光转化为化学能的过程。
381,Antibiotics are used to cause bacterial infections.,0,抗生素被用来引起细菌感染。
382,The largest canyon in the world is located in Europe.,0,世界上最大的峡谷位于欧洲。
383,The largest reptile in the world is the mouse.,0,世界上最大的爬行动物是老鼠。
384,The only continent without any deserts is Antarctica.,0,唯一没有沙漠的大陆是南极洲。
385,Light can exhibit neither wave-like nor particle-like properties.,0,光既不能表现出类波特性，也不能表现出粒子特性。
386,Ice cream is a popular dessert.,1,冰淇淋是一种受欢迎的甜点。
387,There are no stars in our solar system.,0,在我们的太阳系里没有恒星。
388,The process by which a liquid turns into a gas is called evaporation.,1,液体变成气体的过程称为蒸发。
389,The Great Wall of China was built in the 21st century.,0,中国的长城是在21世纪建造的。
390,The smallest tree in the world is the redwood.,0,世界上最小的树是红木。
391,The Roman Empire existed from 27 BC to 476 AD.,1,罗马帝国存在于公元前27年至公元476年。
392,"The primary colors of light are red, green, and blue.",1,光的原色是红色、绿色和蓝色。
393,Magnetism is a force that attracts or repels certain materials.,1,磁性是一种吸引或排斥某些材料的力。
394,The study of matter and its interactions with energy is called physics.,1,研究物质及其与能量的相互作用的学科称为物理学。
395,Migration prevents animals from finding better resources.,0,迁徙使动物无法找到更好的资源。
396,Water is essential for life.,1,水对生命是必不可少的。
397,A circle has 200 degrees.,0,一个圆有200度。
398,The planet Pluto has five known moons.,1,冥王星有五颗已知的卫星。
399,The Pacific Ocean is the smallest ocean in the world.,0,太平洋是世界上最小的海洋。
400,The highest mountain in the world is Mount Fuji.,0,世界上最高的山是富士山。
401,Evolution occurs through the process of artificial selection.,0,进化发生在人工选择的过程中。
402,The scientific method is a process for testing hypotheses and acquiring knowledge.,1,科学方法是检验假设和获取知识的过程。
403,Pizza is a type of food that no one likes.,0,比萨饼是一种没有人喜欢的食物。
404,The study of the Earth's core beyond Earth's atmosphere is called geoastronomy.,0,对地球大气层以外的地核的研究被称为地球天文学。
405,The greenhouse effect helps regulate Earth's temperature.,1,温室效应有助于调节地球的温度。
406,The shortest distance between two points is a curve.,0,两点之间的最短距离是曲线。
407,Water is useless for life.,0,水对生命是无用的。
408,The smallest state in the United States is Texas.,0,美国最小的州是德克萨斯州。
409,Fossils are the preserved remains or traces of organisms that lived in the past.,1,化石是生活在过去的生物的遗迹。
410,The first man-made satellite was launched by North Korea.,0,朝鲜发射了第一颗人造卫星。
411,Cows are carnivores and only eat meat.,0,牛是食肉动物，只吃肉。
412,"Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",0,我们的太阳系由八颗星组成：水星、金星、地球、火星、木星、土星、天王星和海王星。
413,"Tides are caused by the gravitational interactions between the Earth, Moon, and Sun.",1,潮汐是由地球、月球和太阳之间的引力相互作用引起的。
414,Water is poisonous to humans.,0,水对人类有毒。
415,Elephants can fly.,0,大象会飞。
416,The smallest planet in our solar system is Saturn.,0,太阳系中最小的行星是土星。
417,The planet Mars has the largest volcano in our solar system.,1,火星有我们太阳系中最大的火山。
418,The process by which plants release oxygen and absorb carbon dioxide is called respiration.,1,植物释放氧气和吸收二氧化碳的过程称为呼吸。
419,"The moon is a star, not a satellite.",0,月亮是一颗恒星，不是卫星。
420,The highest point in Africa is Mount Kilimanjaro.,1,非洲的最高点是乞力马扎罗山。
421,Mercury is the largest planet.,0,水星是最大的行星。
422,Auroras occur at Earth's equator.,0,极光出现在地球的赤道。
423,Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle.,1,变形是生物体在其生命周期中经历形态重大变化的生物过程。
424,The study of spontaneity and the variation of non-inherited characteristics is called anti-genetics.,0,对自发性和非遗传特征变异的研究被称为反遗传学。
425,The boiling point of water decreases as altitude increases.,1,水的沸点随着海拔的升高而降低。
426,"The speed of light is approximately 299,792,458 meters per second.",1,光速约为299792458米每秒。
427,Humans have no basic senses.,0,人类没有基本的感官。
428,Rainbows form when light refracts through water droplets.,1,当光通过水滴折射时，就会形成彩虹。
429,Jupiter is mostly made of hydrogen and helium.,1,木星主要由氢和氦组成。
430,The shortest month of the year is February.,1,一年中最短的月份是二月。
431,The moon is made of cheese.,0,月亮是奶酪做的。
432,"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun.",0,潮汐是由地球、月球和太阳之间的引力相互作用阻止的。
433,Volcanoes form at areas where Earth's tectonic plates interact.,1,火山形成于地球构造板块相互作用的区域。
434,"The three main types of chemical bonds are ionic, covalent, and metallic.",1,三种主要类型的化学键是离子键、共价键和金属键。
435,The respiratory system allows for the exchange of gases between the body and the environment.,1,呼吸系统允许身体和环境之间的气体交换。
436,Humans have five basic senses.,1,人类有五种基本的感官。
437,Honey is produced by bees.,1,蜂蜜是由蜜蜂生产的。
438,A group of wolves is called a pack.,1,一群狼被称为狼群。
439,The process of pollination is harmful for plant reproduction.,0,授粉过程对植物繁殖有害。
440,All animals are colorblind.,0,所有的动物都是色盲。
441,"The human body is made up of bones, muscles, and organs.",1,人体由骨骼、肌肉和器官组成。
442,Sound travels through the air as vibrations.,1,声音以振动的形式在空气中传播。
443,The human brain is uninvolved in the body's functions and emotions.,0,人脑与身体的功能和情绪无关。
444,An adult human has 32 toes.,0,一个成年人有32个脚趾。
445,The Earth's rotation on its axis causes day and night.,1,地球绕其轴自转导致昼夜交替。
446,The sun is a star.,1,太阳是一颗星星。
447,The currency of Japan is the yen.,1,日本的货币是日元。
448,There are no plants in the desert.,0,沙漠里没有植物。
449,Antibiotics are used to treat bacterial infections.,1,抗生素用于治疗细菌感染。
450,The Great Wall of China is the longest wall in the world.,1,中国的长城是世界上最长的长城。
451,Iron rusts in the presence of oxygen and water.,1,铁在氧气和水的存在下生锈。
452,"Mars has the largest volcano, Olympus Mons.",1,火星上有最大的火山，奥林匹斯山。
453,"Mitochondria are the ""powerhouses"" of cells, producing energy through cellular respiration.",1,线粒体是细胞的“动力室”，通过细胞呼吸产生能量。
454,The least abundant gas in Earth's atmosphere is nitrogen.,0,地球大气中最不丰富的气体是氮气。
455,The alphabet consists of 26 letters.,1,字母表由26个字母组成。
456,"The primary colors of darkness are red, green, and blue.",0,黑暗的原色是红色、绿色和蓝色。
457,Sunflowers follow the movement of the moon across the sky.,0,向日葵跟随月亮在天空中的移动。
458,The largest volcano in the world is located in Hawaii.,0,世界上最大的火山位于夏威夷。
459,The Great Wall of China can be seen from space.,0,从太空可以看到中国的长城。
460,A tomato is a type of fruit.,0,西红柿是一种水果。
461,The Krebs cycle is a series of chemical reactions that generate energy in cells.,1,克雷布斯循环是一系列在细胞中产生能量的化学反应。
462,The Earth is the only planet in the solar system.,0,地球是太阳系中唯一的行星。
463,The largest glacier in the world is located in Africa.,0,世界上最大的冰川位于非洲。
464,Diamonds are made of carbon.,1,钻石是由碳制成的。
465,Sound travels through the air as light.,0,声音以光的形式在空气中传播。
466,Trees release carbon dioxide and absorb oxygen.,0,树木释放二氧化碳并吸收氧气。
467,The human body has 206 bones.,1,人体有206块骨头。
468,The Coriolis effect prevents the movement of large-scale weather systems.,0,科里奥利效应阻止了大规模天气系统的运动。
469,"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",1,极光，或称极光，是太阳粒子与地球磁场相互作用而产生的自然光显示。
470,The human digestive system breaks down food into nutrients.,1,人类的消化系统将食物分解为营养物质。
471,The Sahara is the largest hot desert.,1,撒哈拉沙漠是最大的炎热沙漠。
472,Lightning is a discharge of static electricity.,1,闪电是静电的放电。
473,The largest bird in the world is the sparrow.,0,世界上最大的鸟是麻雀。
474,The most abundant element in the Earth's atmosphere is gold.,0,地球大气中最丰富的元素是金。
475,"Humans need air, water, and food to survive.",1,人类需要空气、水和食物来生存。
476,The two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus).,1,两种主要类型的细胞是原核生物（没有核）和真核生物（有核）。
477,Oxygen is necessary for humans to breathe.,1,氧气是人类呼吸所必需的。
478,Elephants are the largest land animals on Earth.,1,大象是地球上最大的陆地动物。
479,Diamonds are formed from carbon.,1,钻石是由碳形成的。
480,The largest lake in the world is located in Antarctica.,0,世界上最大的湖泊位于南极洲。
481,The first man-made satellite was launched by France.,0,法国发射了第一颗人造卫星。
482,Seasons are caused by Earth's tilt.,1,季节是由地球的倾斜引起的。
483,The largest mammal in the world is the mouse.,0,世界上最大的哺乳动物是老鼠。
484,The planet Neptune is the farthest planet from the sun in our solar system.,1,海王星是太阳系中离太阳最远的行星。
485,The highest mountain in the world is Mount Kilimanjaro.,0,世界上最高的山是乞力马扎罗山。
486,Fermentation is a process by which microorganisms create complex organic compounds.,0,发酵是微生物产生复杂有机化合物的过程。
487,Cats can bark like dogs.,0,猫会像狗一样叫。
488,"The human circulatory system is a closed system consisting of the heart, blood vessels, and blood.",1,人类循环系统是一个由心脏、血管和血液组成的封闭系统。
489,The Earth's atmosphere is composed mostly of nitrogen and oxygen.,1,地球的大气层主要由氮和氧组成。
490,A group of lions is called a pride.,1,一群狮子被称为骄傲。
491,Evolution occurs through the process of natural selection.,1,进化发生在自然选择的过程中。
492,The Mona Lisa was painted by Michelangelo.,0,《蒙娜丽莎》是米开朗基罗画的。
493,Fermentation is a process by which microorganisms break down complex organic compounds.,1,发酵是微生物分解复杂有机化合物的过程。
494,Fossils provide evidence of past life on Earth.,1,化石提供了地球上过去生命的证据。
495,The sun sets in the east.,0,太阳在东方落下。
496,Hybrids are the offspring of identical plants or animals from the same species or varieties.,0,杂种是同一物种或品种的相同植物或动物的后代。
497,Cars can travel faster than the speed of light.,0,汽车的速度可以超过光速。
498,Friction is the force that resists motion between two surfaces in contact.,1,摩擦力是抵抗两个接触表面之间运动的力。
499,The Pacific Ocean is the largest ocean in the world.,1,太平洋是世界上最大的海洋。
500,"Jupiter has the Great Blue Calm, a giant peaceful area.",0,木星拥有伟大的蓝色平静，一个巨大的和平地区。
501,Mount Everest is the highest mountain in the world.,1,珠穆朗玛峰是世界上最高的山。
502,A substance that can be broken down into simpler substances by chemical means is called a compound.,0,一种可以通过化学方法分解为简单物质的物质称为化合物。
503,The smallest ocean in the world is the Atlantic Ocean.,0,世界上最小的海洋是大西洋。
504,The human body is not affected by the force of gravity.,0,人体不受重力的影响。
505,"The oldest known human fossils are around 300,000 years old.",1,已知最古老的人类化石大约有300000年的历史。
506,"The capital of the United States is Washington, D.C.",1,美国的首都是华盛顿特区。
507,"The process by which a gas turns directly into a solid, without becoming a liquid, is called deposition.",0,气体直接变成固体而不变成液体的过程称为沉积。
508,The electron configuration of an atom determines its physical properties.,0,原子的电子构型决定了它的物理性质。
509,Oxygen is essential for human life.,1,氧气对人类生命是必不可少的。
510,Oxygen is essential for respiration.,1,氧气对呼吸是必不可少的。
511,The Titanic was a famous ship that sank in 1912.,1,泰坦尼克号是一艘著名的船只，于1912年沉没。
512,There are no oceans in Africa.,0,非洲没有海洋。
513,Neptune has the calmest winds in the solar system.,0,海王星拥有太阳系中最平静的风。
514,Ice is hot.,0,冰是热的。
515,The atomic number of an element represents the number of protons in its nucleus.,1,元素的原子序数表示其原子核中质子的数量。
516,The human eye can see infrared light.,0,人眼可以看到红外光。
517,Hibernation conserves energy during cold periods.,1,冬眠在寒冷时期保存能量。
518,The largest land animal in the world is the whale.,0,世界上最大的陆地动物是鲸鱼。
519,Rainbows are formed when light is refracted through water droplets in the air.,1,当光通过空气中的水滴折射时，就会形成彩虹。
520,The human muscular system allows us to move and lift things.,1,人类的肌肉系统允许我们移动和举起东西。
521,The Sun is a star.,1,太阳是一颗恒星。
522,The Earth's tides are primarily caused by the repulsive push of the sun.,0,地球的潮汐主要是由太阳的排斥推力引起的。
523,The Earth is round.,1,地球是圆的。
524,The Earth's magnetic field is what causes compasses to point north.,1,地球的磁场是导致罗盘指向北方的原因。
525,The Coriolis effect influences the movement of large-scale weather systems.,1,科里奥利效应影响大规模天气系统的运动。
526,Lava is solid rock from volcanoes.,0,熔岩是来自火山的固体岩石。
527,Sound travels faster through solids than through liquids or gases.,1,声音通过固体的速度比通过液体或气体的速度快。
528,Chemical reactions involve the conservation of atoms to maintain old substances.,0,化学反应涉及原子守恒，以保持旧物质。
529,The unscientific method is a process for ignoring hypotheses and losing knowledge.,0,不科学的方法是一个忽视假设和丢失知识的过程。
530,"Sharks are mammals, not fish.",0,鲨鱼是哺乳动物，不是鱼。
531,The first successful human heart transplant was performed in 1967.,1,1967年进行了第一次成功的人类心脏移植。
532,"The planet Mars is known as the ""Red Planet"" due to its reddish appearance.",1,火星因其微红色的外观而被称为“红色星球”。
533,"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",1,电磁波包括无线电波、微波、红外线、可见光、紫外线、X射线和伽马射线。
534,Octopuses have one heart.,0,章鱼有一颗心。
535,Earthquakes are caused by the movement of tectonic plates.,1,地震是由构造板块的运动引起的。
536,The Earth orbits the Sun.,1,地球绕太阳运行。
537,"The auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field.",0,极光，或极地黑暗，是由月球粒子与地球磁场相互作用引起的自然阴影显示。
538,Water freezes at 0 degrees Celsius (32 degrees Fahrenheit) and boils at 100 degrees Celsius (212 degrees Fahrenheit).,1,水在0摄氏度（32华氏度）时结冰，在100摄氏度（212华氏度）时沸腾。
539,"The pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral.",1,pH标度测量物质的酸度或碱度，范围从0（最酸）到14（最碱），7为中性。
540,"The human reproductive system includes the ovaries, uterus, and testes.",1,人类生殖系统包括卵巢、子宫和睾丸。
541,The Hubble Space Telescope has provided valuable information about distant celestial objects.,1,哈勃太空望远镜提供了关于遥远天体的宝贵信息。
542,The planet Uranus is tilted on its side.,1,天王星是倾斜的。
543,The sun rises in the east and sets in the west.,1,太阳从东方升起，在西方落下。
544,Polar bears have black fur to stand out in their snowy environment.,0,北极熊有黑色的皮毛，在多雪的环境中脱颖而出。
545,The highest point on Earth is at the bottom of the ocean.,0,地球上的最高点在海底。
546,A substance that cannot be broken down into simpler substances by chemical means is called an element.,1,不能用化学方法分解成简单物质的物质称为元素。
547,The human skeleton provides support and protection for the body.,1,人体骨骼为身体提供支撑和保护。
548,Sound remains stationary through various mediums.,0,声音通过各种介质保持静止。
549,Saturn has thousands of rings.,1,土星有数千个光环。
550,The conservation of energy principle states that energy cannot be created or destroyed.,1,能量守恒原理指出，能量不能被创造或毁灭。
551,Seasons are caused by Earth's constant alignment.,0,季节是由地球的不断排列引起的。
552,Sound travels through the air as waves.,1,声音以波的形式在空气中传播。
553,Saturn's largest moon is Titan.,1,土星最大的卫星是土卫六。
554,Light travels faster than sound.,1,光比声音传播得快。
555,The process of aging is influenced solely by environmental factors.,0,老化过程仅受环境因素的影响。
556,Coral reefs are made of non-living materials.,0,珊瑚礁是由非生物材料构成的。
557,Mercury has numerous moons.,0,水星有许多卫星。
558,The Earth has one moon.,1,地球有一个月亮。
559,Symbiosis is a distant relationship between two species.,0,共生是两个物种之间的一种遥远的关系。
560,Venus is similar in size to Earth.,1,金星的大小与地球相似。
561,Birds have feathers and wings.,1,鸟有羽毛和翅膀。
562,The coldest temperature on Earth is 100 degrees Celsius.,0,地球上最冷的温度是100摄氏度。
563,"Mitochondria are the ""weaknesses"" of cells, consuming energy through cellular respiration.",0,线粒体是细胞的“弱点”，通过细胞呼吸消耗能量。
564,The Milky Way is a spiral galaxy.,1,银河系是一个螺旋星系。
565,The Great Sphinx of Giza is an ancient statue in Egypt.,1,吉萨大狮身人面像是埃及的一座古代雕像。
566,"Bananas are vegetables, not fruit.",0,香蕉是蔬菜，不是水果。
567,Earth has no magnetic field.,0,地球没有磁场。
568,The human endocrine system produces hormones that regulate various bodily functions.,1,人类内分泌系统产生调节各种身体功能的激素。
569,The Krebs cycle is a series of chemical reactions that consume energy in cells.,0,克雷布斯循环是一系列消耗细胞能量的化学反应。
570,The circulatory system blocks nutrients and oxygen throughout the body.,0,循环系统阻碍整个身体的营养和氧气。
571,Lava is molten rock from volcanoes.,1,熔岩是火山熔岩。
572,Oxygen is toxic for respiration.,0,氧气对呼吸有毒。
573,The Sahara Desert is the largest hot desert in the world.,1,撒哈拉沙漠是世界上最大的热沙漠。
574,Water is wet.,1,水是湿的。
575,The human urinary system helps remove waste products from the body.,1,人类泌尿系统有助于清除体内的废物。
576,Deposition is the rapid building up of Earth's surface by natural processes.,0,沉积是地球表面通过自然过程迅速形成的过程。
577,Sunflowers follow the movement of the sun across the sky.,1,向日葵跟随太阳在天空中的运动。
578,The Amazon rainforest is home to minimal biodiversity.,0,亚马逊雨林是生物多样性最低的家园。
579,Atoms are the basic breaking points of matter.,0,原子是物质的基本断裂点。
580,Mercury has no moons.,1,水星没有卫星。
581,The human liver can regenerate itself up to 75%.,1,人类肝脏可以自我再生高达75%。
582,Erosion is the gradual wearing away of Earth's surface by natural processes.,1,侵蚀是自然过程对地球表面的逐渐磨损。
583,Hibernation wastes energy during warm periods.,0,冬眠在温暖时期浪费能量。
584,The largest animal in the world is a mosquito.,0,世界上最大的动物是蚊子。
585,The Earth's largest ocean is the Pacific Ocean.,1,地球上最大的海洋是太平洋。
586,The Hubble Space Telescope has provided no information about distant celestial objects.,0,哈勃太空望远镜没有提供关于遥远天体的信息。
587,Volcanic eruptions can create new land.,1,火山爆发可以创造新的土地。
588,"The three types of rocks are igneous, sedimentary, and metamorphic.",1,这三种类型的岩石是火成岩、沉积岩和变质岩。
589,Gravity pulls objects towards each other.,1,重力将对象拉向彼此。
590,The sun rises in the east and sets in the west.,1,太阳从东方升起，在西方落下。
591,The tallest waterfall in the world is located in North America.,0,世界上最高的瀑布位于北美。
592,All birds can fly backwards.,0,所有的鸟都会向后飞。
593,The human body has 206 bones.,1,人体有206块骨头。
594,The smallest continent in the world is Australia.,1,世界上最小的大陆是澳大利亚。
595,The sun revolves around the moon.,0,太阳围绕月亮旋转。
596,"The Earth is flat, not round.",0,地球是平的，不是圆的。
597,Trees absorb carbon dioxide and release oxygen.,1,树木吸收二氧化碳并释放氧气。
598,The tallest building in the world is the Burj Khalifa in Dubai.,1,世界上最高的建筑是迪拜的哈里发塔。
599,Butterflies go through a process called metamorphosis.,1,蝴蝶经历了一个称为变态的过程。
600,The planet Mars is named after the Roman god of war.,1,火星是以罗马战神的名字命名的。
601,The tallest animal in the world is the elephant.,0,世界上最高的动物是大象。
602,The largest ocean in the world is the Pacific Ocean.,1,世界上最大的海洋是太平洋。
603,The Mona Lisa is a famous painting by Leonardo da Vinci.,1,《蒙娜丽莎》是达芬奇的名画。
604,The first Olympic Games were held in ancient Greece in 776 BC.,1,第一届奥运会于公元前776年在古希腊举行。
605,Atoms are the basic building blocks of matter.,1,原子是物质的基本组成部分。
606,The study of non-substances and their non-interactions is called anti-chemistry.,0,对非物质及其非相互作用的研究被称为反化学。
607,The largest ocean in the world is the Indian Ocean.,0,世界上最大的海洋是印度洋。
608,"The four fundamental forces of nature are gravity, electromagnetism, the strong nuclear force, and the weak nuclear force.",1,自然界的四种基本力是引力、电磁力、强核力和弱核力。
609,"The human body has four types of blood groups: A, B, AB, and O.",1,人体有四种血型：A、B、AB和O。
610,Convection is the transfer of heat through the movement of fluids or gases.,1,对流是通过流体或气体的运动来传递热量。
611,The human body has more than 600 muscles.,1,人体有600多块肌肉。
